date,nvda_open,nvda_high,nvda_low,nvda_close,nvda_volume,btc_open,btc_high,btc_low,btc_close,btc_volume,nvda_monthly_return_pct,btc_monthly_return_pct,nvda_cum_return,btc_cum_return,nvda_monthly_range_pct,btc_monthly_range_pct
2021-09,22.4376,22.9375,20.4238,20.6723,4998986000,47099.7734,52853.7656,39787.6094,43790.8945,1102139678824,-7.4396,-7.1572,351.322,468.3253,12.1597,29.8376
2021-10,20.7062,25.6548,19.5137,25.5131,4971078000,43816.7422,66930.3906,43320.0234,61318.957,1153077903534,23.4167,40.0267,433.59,655.7806,24.0701,38.5042
2021-11,25.5949,34.5739,25.1738,32.6071,10811170000,61320.4492,68789.625,53569.7656,57005.4258,1053270271383,27.8054,-7.0346,554.1513,609.6492,28.8285,26.699
2021-12,33.1489,33.2188,27.0877,29.349,11058505000,56907.9648,59041.6836,42874.6172,46306.4453,957047184722,-9.992,-18.7684,498.7803,495.2281,20.8901,34.9132
2022-01,29.7558,30.65,20.8465,24.4373,10682164000,46311.7461,47881.4062,33184.0586,38483.125,923979037681,-16.7352,-16.8947,415.3082,411.5609,40.1168,38.1917
2022-02,25.0541,26.8715,20.8485,24.3365,10644270000,38481.7656,45661.1719,34459.2188,43193.2344,671335993325,-0.4125,12.2394,413.5952,461.9336,24.7488,25.9345
2022-03,24.2427,28.8885,20.609,27.2318,11644599000,43194.5039,48086.8359,37260.2031,45538.6758,830943838435,11.8966,5.4301,462.7991,487.0171,30.4039,23.7746
2022-04,27.3253,27.5079,18.2568,18.5133,11114390000,45554.1641,47313.4766,37697.9414,37714.875,830115888649,-32.0158,-17.1806,314.6302,403.3448,49.9703,25.4953
2022-05,18.5073,20.3629,15.5387,18.6381,13833021000,37713.2656,39902.9492,26350.4902,31792.3105,1105689315990,0.674,-15.7035,316.7507,340.0055,25.8837,42.6281
2022-06,18.69,19.5833,14.835,15.1315,10554791000,31792.5547,31957.2852,17708.623,19784.7266,923939211678,-18.8143,-37.7688,257.1563,211.5894,31.3807,72.0185
2022-07,14.8751,18.2147,14.0324,18.1338,10564476000,19820.4707,24572.5801,18966.9512,23336.8965,927582363389,19.8419,17.9541,308.1811,249.5783,23.0634,24.0205
2022-08,18.1528,19.243,14.935,15.0698,12069648000,23336.7188,25135.5898,19600.7852,20049.7637,894192654543,-16.897,-14.0856,256.1078,214.4238,28.5875,27.6053
2022-09,14.1862,14.5236,11.9268,12.1195,13130578000,20050.498,22673.8203,18290.3145,19431.7891,1123272250385,-19.5773,-3.0822,205.9688,207.8149,21.4268,22.5584
2022-10,12.3308,13.8319,10.7988,13.4793,12549277000,19431.1055,20988.3945,18319.8223,20495.7734,957903424925,11.2201,5.4755,229.0787,219.1937,22.5013,13.0201
2022-11,13.7929,16.9757,12.939,16.9008,10600603000,20494.8984,21446.8867,15599.0469,17168.5664,1224531549126,25.3834,-16.2336,287.2267,183.6106,23.8846,34.0613
2022-12,16.9811,18.7702,13.8694,14.5986,8946152000,17168.002,18318.5312,16398.1367,16547.4961,541356716034,-13.6221,-3.6175,248.1005,176.9685,33.5706,11.6053
2023-01,14.8353,20.6063,14.0192,19.5164,9454960000,16547.9141,23919.8906,16521.2344,23139.2832,690994018045,33.6869,39.8356,331.6779,247.465,33.7513,31.9744
2023-02,19.6702,23.8628,19.5903,23.1915,10393479000,23137.8359,25134.1172,21460.0879,23147.3535,723968574897,18.8309,0.0349,394.1359,247.5513,18.4226,15.8724
2023-03,23.1676,27.8047,22.2735,27.7477,11263731000,23150.9297,29159.9023,19628.2539,28478.4844,883299703608,19.6459,23.0313,471.5676,304.5655,19.9338,33.4696
2023-04,27.4847,28.0851,26.1968,27.7245,7436450000,28473.332,31005.6074,27070.8496,29268.8066,511540319004,-0.0838,2.7752,471.1722,313.0176,6.8111,13.4435
2023-05,27.8154,41.9009,27.2159,37.8005,11697819000,29227.1035,29820.127,25878.4297,27219.6582,443473015479,36.3436,-7.0011,642.4134,291.1029,38.8487,14.4811
2023-06,38.455,43.9511,37.323,42.2646,10527050000,27218.4121,31389.5391,24797.168,30477.252,481734214225,11.8095,11.9678,718.279,325.9415,15.6825,21.6305
2023-07,42.4838,48.0504,41.3137,46.6925,8706845000,30471.8477,31814.5156,28934.2949,29230.1113,382224489090,10.4767,-4.092,793.5307,312.6038,14.4279,9.8536
2023-08,46.4237,50.2267,40.2795,49.3165,13632152000,29230.873,30176.7969,25409.1113,25931.4727,437724169499,5.6196,-11.2851,838.1243,277.3263,20.1702,18.3857
2023-09,49.7231,49.7611,40.948,43.465,8579273000,25934.0215,27488.7637,24930.2969,26967.916,337637313742,-11.8651,3.9969,738.6803,288.4106,20.2763,9.4871
2023-10,43.9992,47.5757,39.2026,40.7515,10141101000,26967.3965,35150.4336,26558.3203,34667.7812,476425634860,-6.243,28.5519,692.5645,370.7574,20.5468,24.7841
2023-11,40.8554,50.5127,40.8404,46.7373,9144618000,34657.2734,38415.3398,34133.4414,37712.7461,570863267380,14.6886,8.7833,794.2925,403.322,20.6949,11.354
2023-12,46.4925,50.3978,44.9785,49.4874,7411887000,37718.0078,44705.5156,37629.3594,42265.1875,721704910480,5.8841,12.0714,841.0294,452.0085,10.9507,16.7423
2024-01,49.2139,63.4542,47.2911,61.4894,9706237000,42280.2344,48969.3711,38521.8945,42582.6055,825918941347,24.2527,0.751,1045.0016,455.4032,26.286,24.5346
2024-02,62.0621,82.3437,61.6123,79.0637,11061356000,42569.7617,63913.1328,41879.1914,61198.3828,830721862621,28.581,43.7169,1343.6731,654.4911,26.221,36.0041
2024-03,79.9511,97.3405,79.3865,90.3008,12149218000,61168.0625,73750.0703,59323.9102,71333.6484,1446417844950,14.2127,16.5613,1534.6459,762.8835,19.8825,20.2235
